#STAR: V* BF Pav
#moment,moment_error,type,filter,observation_type,weight,note
2444438.7611,,pri,-,Photoelectric,10,None
2445886.4088,0.0001,sec,-,Photoelectric,10,None
2445886.5615,0.0004,pri,-,Photoelectric,10,None
2446936.8122,,pri,-,Photoelectric,10,None
2447259.8382,,sec,-,Photoelectric,10,None
2447368.6715,,sec,-,Photoelectric,10,None
2448056.7481,,sec,-,Photoelectric,10,None
2448056.9002,,pri,-,Photoelectric,10,None
2448057.8068,,pri,-,Photoelectric,10,None
2448058.8653,,sec,-,Photoelectric,10,None
2449182.7353,,pri,-,Photoelectric,10,None
2449184.7002,,sec,-,Photoelectric,10,None
2449217.5024,,pri,-,Photoelectric,10,None
2449217.654,,sec,-,Photoelectric,10,None
2449218.5608,,sec,-,Photoelectric,10,None
2449219.6183,,pri,-,Photoelectric,10,None
2452404.5454,0.0001,pri,NA,CCD,5,None
2452404.6956,0.0002,sec,NA,CCD,5,None
2453479.4386,0.0005,sec,NA,CCD,5,None
2453558.4948,0.0004,pri,NA,CCD,5,None
2454491.3026,0.0002,sec,NA,CCD,5,None
2454529.545,0.0001,pri,NA,CCD,5,None
2454606.9361,0.0003,pri,NA,CCD,5,None
2454614.9478,0.0003,sec,NA,CCD,5,None
2454778.6533,0.0003,pri,NA,CCD,5,None
2454921.4984,0.0002,sec,NA,CCD,5,None
2457172.7172,0.0001,pri,NA,CCD,5,None
2458701.995,0.0004,sec,NA,CCD,5,None
2458702.1464,0.0004,pri,NA,CCD,5,None
2458710.9137,0.0005,pri,NA,CCD,5,None
2458711.0646,0.0005,sec,NA,CCD,5,None
2458713.9368,0.0008,pri,NA,CCD,5,None
2458713.9369,0.0008,pri,NA,CCD,5,None
2458714.0877,0.0008,sec,NA,CCD,5,None
2458716.96,0.0004,pri,NA,CCD,5,None
2458717.1108,0.0005,sec,NA,CCD,5,None
